"","ymd","ym","year","code","addr_1","apt_nm","juso_jibun","price","con_year","area","floor","py","cnt"
"68",2022-02-10,2022-02-01,"2022","42130","강원_원주","두진백로","강원도 원주시 태장동 546 두진백로",3350,1999,28,9,395,1
"69",2022-02-10,2022-02-01,"2022","42130","강원_원주","e편한세상원주태장","강원도 원주시 태장동 2731 e편한세상원주태장",24500,2018,60,5,1347,1
"70",2022-02-11,2022-02-01,"2022","42130","강원_원주","태봉우성2","강원도 원주시 태장동 1266-6 태봉우성2",12150,1992,85,6,472,1
"71",2022-02-24,2022-02-01,"2022","42130","강원_원주","성일","강원도 원주시 단구동 1589-4 성일",13500,1998,60,11,742,1
"72",2022-02-24,2022-02-01,"2022","42130","강원_원주","두산","강원도 원주시 단구동 1520 두산",20300,1997,102,7,657,1
"73",2022-02-24,2022-02-01,"2022","42130","강원_원주","원주단구내안애카운티에듀파크1단지","강원도 원주시 단구동 1721 원주단구내안애카운티에듀파크1단지",36000,2020,85,13,1398,1
"74",2022-02-25,2022-02-01,"2022","42130","강원_원주","청솔2차","강원도 원주시 단구동 1588-4 청솔2차",10500,2000,59,5,587,1
"75",2022-02-26,2022-02-01,"2022","42130","강원_원주","청솔2차","강원도 원주시 단구동 1588-4 청솔2차",12500,2000,59,6,699,1
"76",2022-02-26,2022-02-01,"2022","42130","강원_원주","유승","강원도 원주시 단구동 1478-4 유승",22500,2003,84,16,884,1
"77",2022-02-26,2022-02-01,"2022","42130","강원_원주","단구동한신더휴","강원도 원주시 단구동 1451 단구동한신더휴",41500,2017,85,14,1611,1
"78",2022-02-26,2022-02-01,"2022","42130","강원_원주","중앙하이츠아파트","강원도 원주시 단구동 1702 중앙하이츠아파트",24900,2008,85,15,967,1
"79",2022-02-27,2022-02-01,"2022","42130","강원_원주","청솔2차","강원도 원주시 단구동 1588-4 청솔2차",10700,2000,59,4,598,1
"80",2022-02-27,2022-02-01,"2022","42130","강원_원주","현대1","강원도 원주시 단구동 1517-4 현대1",16500,1997,60,15,908,1
"81",2022-02-27,2022-02-01,"2022","42130","강원_원주","청솔2차","강원도 원주시 단구동 1588-4 청솔2차",11000,2000,59,3,615,1
"82",2022-02-27,2022-02-01,"2022","42130","강원_원주","한일","강원도 원주시 단구동 1517-2 한일",16000,1997,60,12,880,1
"83",2022-02-27,2022-02-01,"2022","42130","강원_원주","원주단구내안애카운티에듀파크1단지","강원도 원주시 단구동 1721 원주단구내안애카운티에듀파크1단지",36000,2020,85,17,1398,1
"84",2022-02-28,2022-02-01,"2022","42130","강원_원주","청솔3차","강원도 원주시 단구동 1679 청솔3차",9500,2000,59,1,531,1
"85",2022-02-04,2022-02-01,"2022","42130","강원_원주","우보삼성","강원도 원주시 일산동 333-3 우보삼성",13200,1993,85,5,512,1
"86",2022-02-05,2022-02-01,"2022","42130","강원_원주","일산국제","강원도 원주시 일산동 247-162 일산국제",14300,2001,85,14,555,1
"87",2022-02-05,2022-02-01,"2022","42130","강원_원주","우보삼성","강원도 원주시 일산동 333-3 우보삼성",16300,1993,101,5,533,1
"88",2022-02-07,2022-02-01,"2022","42130","강원_원주","원흥2","강원도 원주시 일산동 355-1 원흥2",14500,1992,85,3,563,1
"89",2022-02-07,2022-02-01,"2022","42130","강원_원주","신진빌리지","강원도 원주시 일산동 272-3 신진빌리지",9600,1989,85,5,373,1
"90",2022-02-08,2022-02-01,"2022","42130","강원_원주","일산국제","강원도 원주시 일산동 247-162 일산국제",11500,2001,85,1,446,1
"91",2022-02-09,2022-02-01,"2022","42130","강원_원주","일산국제","강원도 원주시 일산동 247-162 일산국제",14000,2001,85,11,544,1
"92",2022-02-12,2022-02-01,"2022","42130","강원_원주","일산국제","강원도 원주시 일산동 247-162 일산국제",9500,2001,60,3,522,1
"93",2022-02-16,2022-02-01,"2022","42130","강원_원주","두진하트리움시티","강원도 원주시 일산동 365 두진하트리움시티",39000,2019,85,29,1514,1
"94",2022-02-18,2022-02-01,"2022","42130","강원_원주","두진하트리움시티","강원도 원주시 일산동 365 두진하트리움시티",28900,2019,60,30,1590,1
"95",2022-02-20,2022-02-01,"2022","42130","강원_원주","두진하트리움시티","강원도 원주시 일산동 365 두진하트리움시티",28500,2019,60,11,1568,1
"96",2022-02-21,2022-02-01,"2022","42130","강원_원주","일산국제","강원도 원주시 일산동 247-162 일산국제",15000,2001,85,3,582,1
"97",2022-02-24,2022-02-01,"2022","42130","강원_원주","원흥2","강원도 원주시 일산동 355-1 원흥2",10500,1992,71,5,488,1
"98",2022-02-25,2022-02-01,"2022","42130","강원_원주","원흥2","강원도 원주시 일산동 355-1 원흥2",11000,1992,71,10,511,1
"99",2022-02-11,2022-02-01,"2022","42130","강원_원주","삼천리1","강원도 원주시 학성동 1032-6 삼천리1",11900,1991,74,13,531,1
"100",2022-02-13,2022-02-01,"2022","42130","강원_원주","영진로얄타운","강원도 원주시 학성동 1050 영진로얄타운",9700,1994,59,5,543,1
"101",2022-02-14,2022-02-01,"2022","42130","강원_원주","삼천리3","강원도 원주시 학성동 1031 삼천리3",9300,1997,60,1,512,1
"102",2022-02-21,2022-02-01,"2022","42130","강원_원주","삼천리3","강원도 원주시 학성동 1031 삼천리3",11000,1997,60,12,605,1
